title,description
PTY,Tocumen International Airport
TJC,Ticantiki Airport
KGR,Kulgera Airport
TIZ,Tari Airport
INB,Independence Airport
AMS,Amsterdam Airport Schiphol
BWY,RAF Bentwaters
PPA,Perry Lefors Field
REL,Almirante Marco Andres Zar Airport
UGT,Bulagtai Resort Airport
MHE,Mitchell Municipal Airport
HNY,Hengyang Nanyue Airport
AXT,Akita Airport
TBZ,Tabriz International Airport
YHB,Hudson Bay Airport
MOM,Letfotar Airport
FOR,Pinto Martins International Airport
CUR,Hato International Airport
YNH,Hudsons Hope Airport
NIU,Naiu Airport
GGR,Garowe Airport
TSP,Tehachapi Municipal Airport
IIL,Ilam Airport
MAS,Momote Airport
FSU,Fort Sumner Municipal Airport
ZOF,Ocean Falls Seaplane Base
NCI,Necocli Airport
YRI,Rivière-du-Loup Airport
GRB,Austin Straubel International Airport
SVJ,Svolvær Helle Airport
SZY,Olsztyn-Mazury Airport
GTE,Groote Eylandt Airport
GCN,Grand Canyon National Park Airport
YLH,Lansdowne House Airport
AWZ,Ahwaz Airport
ZGI,Gods River Airport
UAR,Bouarfa Airport
0,Pastos Bons Airport
PDM,Capt Justiniano Montenegro Airport
BKG,Branson Airport
FMS,Fort Madison Municipal Airport
PED,Pardubice Airport
GDN,Gdańsk Lech Wałęsa Airport
GRW,Graciosa Airport
TKF,Truckee Tahoe Airport
SON,Santo Pekoa International Airport
SWD,Seward Airport
YFA,Fort Albany Airport
MZD,Méndez Airport
ATH,Eleftherios Venizelos International Airport
GCA,Guacamayas Airport
GRU,Guarulhos - Governador André Franco Montoro International Airport
MJL,Mouilla Ville Airport
TKK,Chuuk International Airport
QPG,Paya Lebar Air Base
PKW,Selebi Phikwe Airport
KZS,Kastelorizo Airport
GMN,Greymouth Airport
BDL,Bradley International Airport
HUI,Phu Bai Airport
JUO,Jurado Airport
KLU,Klagenfurt Airport
CPS,St Louis Downtown Airport
PTM,Palmarito Airport
HME,Oued Irara Airport
KDB,Kambalda Airport
WSY,Whitsunday Island Airport
SVE,Susanville Municipal Airport
GRI,Central Nebraska Regional Airport
VNA,Saravane Airport
BET,Bethel Airport
AVN,Avignon-Caumont Airport
JOM,Njombe Airport
WAO,Wabo Airport
WAO,Wabo Airport
OTC,Bol Airport
JMU,Jiamusi Airport
GAZ,Guasopa Airport
EPU,Pärnu Airport
EMP,Emporia Municipal Airport
OLZ,Olyokminsk Airport
RNI,Corn Island
TCT,Takotna Airport
PCG,Paso Caballos Airport
KRQ,Kramatorsk Airport
WBO,Antsoa Airport
PLL,Ponta Pelada Airport
CGA,Craig Seaplane Base
JMU,Jiamusi Airport
VBA,Ann Airport
EEK,Eek Airport
KHC,Kerch Airport
HVB,Hervey Bay Airport
NYW,Monywar Airport
XRH,RAAF Base Richmond
ABX,Albury Airport
ALG,Houari Boumediene Airport
DOS,Dios Airport
HED,Herendeen Bay Airport
TAE,Daegu Airport
ATN,Namatanai Airport
YBR,Brandon Municipal Airport
NEK,Nekemte Airport
WFI,Fianarantsoa Airport
PCT,Princeton Airport
YSJ,Saint John Airport
LHK,Guangzhou MR Air Base
SJF,Cruz Bay Seaplane Base
ZAD,Zadar Airport
CAX,Carlisle Airport
EUO,Paratebueno Airport
MLC,Mc Alester Regional Airport
OBO,Tokachi-Obihiro Airport
MRQ,Marinduque Airport
LFQ,Linfen Qiaoli Airport
GAJ,Yamagata Airport
RQO,El Reno Regional Airport
ESA,Esa'ala Airport
UES,Waukesha County Airport
TLH,Tallahassee Regional Airport
BML,Berlin Regional Airport
RIC,Richmond International Airport
ALF,Alta Airport
KIH,Kish International Airport
TPT,Tapeta Airport
AYI,Yari Airport
DHB,Deer Harbor SPB
YBR,Brandon Municipal Airport
UCB,Ulanqab Jining Airport
CTO,Calverton Executive Airpark
MTB,Montelibano Airport
USU,Francisco B. Reyes Airport
POF,Poplar Bluff Municipal Airport
YMT,Chapais Airport
KFA,Kiffa Airport
OHA,RNZAF Base Ohakea
GDO,Guasdalito Airport
EBW,Ebolowa Airport
0,Fazenda São Francisco do Itaquerê Airport
END,Vance Air Force Base
SUU,Travis Air Force Base
PFR,Ilebo Airport
LSC,La Florida Airport
TGI,Tingo Maria Airport
YTX,Telegraph Creek Airport
FDK,Frederick Municipal Airport
BMT,Beaumont Municipal Airport
KUD,Kudat Airport
NLE,Jerry Tyler Memorial Airport
WRY,Westray Airport
GTS,Granite Downs Airport
LWS,Lewiston Nez Perce County Airport
RAN,Ravenna Airport
FAM,Farmington Regional Airport
IOR,Inishmore Aerodrome
